Date,Open,High,Low,Close,Adj Close,Volume
2021-08-26,650.596802,655.307495,607.162598,607.399475,607.399475,3163076919
2021-08-27,607.429932,635.452026,598.521179,635.265747,635.265747,3101930692
2021-08-28,635.486328,647.299805,623.559326,647.299805,647.299805,3068367305
2021-08-29,647.433777,690.869080,647.433777,660.172485,660.172485,3005005852
2021-08-30,660.060242,664.508972,631.628845,631.658020,631.658020,3031651589
2021-08-31,631.850769,651.252686,625.066345,636.765991,636.765991,3166346774
2021-09-01,637.149841,656.817078,626.511780,656.817078,656.817078,3115775778
2021-09-02,656.867798,673.732361,654.918884,664.838867,664.838867,3308862260
2021-09-03,664.770691,720.814575,652.640503,712.818359,712.818359,3868119875
2021-09-04,712.675598,732.423584,698.146423,709.572449,709.572449,2791338601
2021-09-05,709.182251,765.436768,699.855774,764.197571,764.197571,3208380108
2021-09-06,764.660767,801.494751,742.315002,784.366455,784.366455,3580462743
2021-09-07,784.226807,787.078796,596.748474,672.250549,672.250549,4539086316
2021-09-08,672.539673,679.621155,645.434387,662.192993,662.192993,4477362994
2021-09-09,659.660034,672.895142,657.009888,661.226746,661.226746,4413138790
2021-09-10,661.139099,673.417419,620.489563,629.420044,629.420044,4593607596
2021-09-11,629.446655,647.369019,627.197693,635.880066,635.880066,5450251190
2021-09-12,635.821106,654.806152,624.740540,647.329468,647.329468,5486288261
2021-09-13,647.329102,657.112854,596.707764,615.131653,615.131653,6132533806
2021-09-14,615.187805,642.188232,610.427917,639.965210,639.965210,5643937431
2021-09-15,640.016113,656.120361,633.630554,652.477661,652.477661,5267523341
2021-09-16,652.216187,654.266785,630.112122,639.571350,639.571350,5327212613
2021-09-17,639.630676,647.064331,614.644958,620.557861,620.557861,5654219771
2021-09-18,620.546875,637.315430,615.914429,630.215271,630.215271,5596309163
2021-09-19,630.304443,646.680969,604.978516,609.283508,609.283508,5805970653
2021-09-20,609.237549,609.256653,534.120483,540.876099,540.876099,6259395359
2021-09-21,542.614014,551.834290,499.404175,504.018951,504.018951,5960134012
2021-09-22,503.821899,547.645081,497.690735,547.645081,547.645081,5552515723
2021-09-23,547.565735,553.264465,534.037537,552.303772,552.303772,5454592394
2021-09-24,552.421509,555.381470,483.001556,513.605774,513.605774,5724596256
2021-09-25,513.737427,522.480408,503.324585,517.896545,517.896545,5083616990
2021-09-26,517.896729,518.561157,482.245605,503.667419,503.667419,5773227295
2021-09-27,503.929535,515.192627,488.824707,489.011932,489.011932,5464519283
2021-09-28,488.828003,499.217377,473.270782,474.522003,474.522003,1295622291
2021-09-29,474.833313,497.263306,472.265625,485.419983,485.419983,1087541063
